lottery_type,period_id,front_1,front_2,front_3,front_4,front_5,back_1,back_2
dlt,10007,7,23,26,29,32,8,11
dlt,10008,11,23,25,31,32,5,11
dlt,10009,2,5,13,27,32,3,11
dlt,10010,15,22,24,32,35,2,9
dlt,10011,2,3,11,27,32,8,11
dlt,10012,20,24,30,31,33,5,12
dlt,10013,18,21,22,26,34,9,12
dlt,10014,18,19,30,33,35,2,4
dlt,10015,3,10,14,18,28,8,10
dlt,10016,10,12,20,23,32,4,10
dlt,10017,13,21,23,27,34,9,12
dlt,10018,3,10,26,32,33,4,12
dlt,10019,3,11,19,26,27,2,9
dlt,10020,8,18,26,32,33,1,6
dlt,10021,11,20,23,24,25,7,9
dlt,10022,2,11,13,14,25,2,5
dlt,10023,11,13,29,32,33,2,8
dlt,10024,3,14,19,24,25,4,11
dlt,10025,9,11,13,14,25,1,7
dlt,10026,5,23,25,31,35,7,10
dlt,10027,5,23,26,32,34,2,9
dlt,10028,1,2,7,20,35,1,3
dlt,10029,21,22,33,34,35,3,4
dlt,10030,10,12,19,32,35,2,7
dlt,10031,5,13,16,17,35,6,8
dlt,10032,13,16,23,24,33,7,11
dlt,10033,12,19,28,29,30,5,8
dlt,10034,1,6,19,25,26,3,9
dlt,10035,14,16,20,31,34,1,7
dlt,10036,19,25,28,31,33,1,8
dlt,10037,19,21,26,34,35,1,9
dlt,10038,8,10,25,29,33,1,2
dlt,10039,7,19,26,28,32,1,8
dlt,10040,13,20,26,31,35,2,11
dlt,10041,16,22,28,29,34,4,12
dlt,10042,1,5,19,34,35,6,7
dlt,10043,5,8,10,33,35,2,10
dlt,10044,6,21,24,28,30,2,7
dlt,10045,8,17,18,20,28,9,10
dlt,10046,2,15,19,26,27,5,6
dlt,10047,4,8,11,30,31,2,8
dlt,10048,2,3,10,12,25,3,9
dlt,10049,1,25,29,31,33,4,10
dlt,10050,7,8,15,30,35,5,10
dlt,10051,6,10,20,24,32,6,10
dlt,10052,4,6,25,29,32,5,6
dlt,10053,9,19,22,26,34,9,11
dlt,10054,12,25,29,30,33,10,11
dlt,10055,13,14,17,27,32,2,10
dlt,10056,5,9,23,25,30,9,12
dlt,10057,15,17,24,32,35,7,9
dlt,10058,6,15,17,19,30,1,12
dlt,10059,6,10,14,25,34,1,3
dlt,10060,10,13,22,33,34,1,5
dlt,10061,5,12,14,17,22,5,7
dlt,10062,6,7,18,30,31,7,8
dlt,10063,7,14,16,30,31,3,6
dlt,10064,7,10,12,20,21,6,9
dlt,10065,5,8,13,14,32,8,11
dlt,10066,15,21,22,24,27,1,6
dlt,10067,1,11,19,30,32,3,10
dlt,10068,11,17,19,20,34,6,10
dlt,10069,6,17,18,25,29,8,9
dlt,10070,5,14,23,25,28,11,12
dlt,10071,7,12,26,30,32,2,7
dlt,10072,5,10,17,23,25,3,10
dlt,10073,4,9,11,30,32,1,11
dlt,10074,3,7,20,27,32,2,12
dlt,10075,10,12,17,23,27,5,7
dlt,10076,9,12,16,19,35,2,12
dlt,10077,6,7,9,17,24,2,12
dlt,10078,2,3,15,28,35,1,11
dlt,10079,1,4,21,22,24,2,5
dlt,10080,8,19,27,29,34,4,10
dlt,10081,14,18,20,24,27,5,10
dlt,10082,5,8,24,29,30,4,6
dlt,10083,7,11,21,22,35,4,7
dlt,10084,3,13,14,22,26,2,5
dlt,10085,2,10,16,18,34,2,3
dlt,10086,1,2,12,19,35,5,7
dlt,10087,1,12,20,21,24,2,8
dlt,10088,3,5,14,30,35,3,6
dlt,10089,4,10,13,18,23,8,10
dlt,10090,8,24,26,31,32,7,9
dlt,10091,6,10,23,26,31,5,7
dlt,10092,2,15,29,30,34,2,12
dlt,10093,2,4,9,28,29,5,8
dlt,10094,20,32,33,34,35,6,7
dlt,10095,12,14,16,19,25,1,6
dlt,10096,4,9,24,30,35,1,10
dlt,10097,9,17,21,28,29,2,8
dlt,10098,2,3,12,13,25,1,7
dlt,10099,3,11,17,21,30,1,8
dlt,10100,19,20,30,33,35,6,8
dlt,10101,11,15,22,27,35,5,8
dlt,10102,4,15,19,24,35,1,10
dlt,10103,10,14,29,30,35,5,8
dlt,10104,14,25,30,32,33,1,11
dlt,10105,5,17,26,27,35,8,9
dlt,10106,5,27,28,29,34,9,12
dlt,10107,14,17,22,27,34,3,5
dlt,10108,1,10,13,19,34,9,12
dlt,10109,1,2,8,11,25,10,12
dlt,10110,21,29,30,33,35,7,11
dlt,10111,3,6,13,14,29,1,2
dlt,10112,14,15,18,34,35,8,10
dlt,10113,5,16,22,23,32,4,10
dlt,10114,3,7,22,25,35,3,11
dlt,10115,5,7,10,15,32,3,8
dlt,10116,14,22,27,28,35,4,10
dlt,10117,4,6,21,27,34,5,9
dlt,10118,19,22,23,29,35,8,10
dlt,10119,5,13,14,23,26,2,3
dlt,10120,8,10,18,34,35,6,10
dlt,10121,21,22,31,32,34,2,12
dlt,10122,5,6,11,13,26,2,7
dlt,10123,18,20,30,32,33,1,11
dlt,10124,1,9,27,29,34,1,6
dlt,10125,1,7,9,14,19,9,12
dlt,10126,3,5,9,13,33,5,11
dlt,10127,3,22,24,30,33,4,10
dlt,10128,6,17,19,29,35,2,8
dlt,10129,14,15,24,25,26,3,7
dlt,10130,5,6,9,10,34,8,11
dlt,10131,10,15,22,28,29,4,12
dlt,10132,18,21,23,25,29,6,11
dlt,10133,11,16,17,21,22,3,6
dlt,10134,9,12,13,19,30,4,5
dlt,10135,14,17,19,26,32,3,4
dlt,10136,3,13,18,30,33,7,8
dlt,10137,22,27,28,33,35,9,11
dlt,10138,8,12,14,19,27,5,6
dlt,10139,3,13,16,19,29,7,9
dlt,10140,6,18,20,30,31,3,6
dlt,10141,5,11,17,23,33,3,10
dlt,10142,10,11,19,21,27,4,6
dlt,10143,10,16,18,22,27,6,8
dlt,10144,2,11,16,22,31,10,11
dlt,10145,18,19,27,28,33,3,6
dlt,10146,14,17,30,31,34,4,10
dlt,10147,1,15,19,21,23,11,12
dlt,10148,3,4,8,10,35,2,6
dlt,10149,5,22,24,25,30,1,6
dlt,10150,5,24,28,29,35,1,9
dlt,10151,1,10,32,33,35,3,8
dlt,10152,2,5,18,22,23,7,12
dlt,10153,6,7,16,24,35,4,6
dlt,11001,7,8,15,32,34,5,12
dlt,11002,11,13,27,28,29,2,6
dlt,11003,1,24,27,30,31,1,6
dlt,11004,7,8,10,23,25,7,9
dlt,11005,1,7,25,27,30,7,12
dlt,11006,2,8,16,26,35,11,12
dlt,11007,14,24,32,33,35,2,9
dlt,11008,1,23,26,27,30,5,6
dlt,11009,9,10,11,14,24,3,8
dlt,11010,4,8,10,14,27,5,7
dlt,11011,2,17,23,24,30,2,9
dlt,11012,3,12,19,25,30,8,11
dlt,11013,5,8,14,28,30,4,6
dlt,11014,2,14,20,21,24,2,9
dlt,11015,8,18,19,22,23,1,3
dlt,11016,15,20,30,33,35,6,9
dlt,11017,16,19,24,26,31,2,4
dlt,11018,16,22,24,32,34,2,10
dlt,11019,8,21,23,27,33,6,11
dlt,11020,9,12,19,22,28,1,5
dlt,11021,1,9,13,17,30,2,8
dlt,11022,9,14,24,25,34,1,4
dlt,11023,5,13,16,18,24,2,12
dlt,11024,12,15,16,20,33,8,12
dlt,11025,8,9,25,28,29,2,10
dlt,11026,1,9,15,20,29,7,9
dlt,11027,5,14,25,34,35,2,5
dlt,11028,1,2,13,17,28,1,4
dlt,11029,3,9,17,24,28,6,12
dlt,11030,15,19,25,30,33,3,8
dlt,11031,12,17,19,22,35,4,11
dlt,11032,7,16,23,31,33,3,10
dlt,11033,3,19,24,29,33,3,9
dlt,11034,3,6,9,17,27,3,9
dlt,11035,3,4,13,15,32,4,9
dlt,11036,3,18,29,30,33,8,9
dlt,11037,1,12,14,22,24,10,12
dlt,11038,7,9,11,13,33,10,12
dlt,11039,1,11,14,22,34,6,8
dlt,11040,3,7,15,18,20,1,6
dlt,11041,4,5,11,13,25,3,6
dlt,11042,6,9,18,30,32,10,12
dlt,11043,2,8,23,33,35,5,10
dlt,11044,11,21,24,26,31,6,7
dlt,11045,13,21,22,29,31,7,11
dlt,11046,9,15,16,19,29,4,6
dlt,11047,2,15,22,33,35,5,8
dlt,11048,13,17,25,27,28,2,3
dlt,11049,5,6,10,22,25,1,9
dlt,11050,4,7,29,32,33,8,10
dlt,11051,6,8,12,17,18,5,10
dlt,11052,13,24,31,32,33,3,9
dlt,11053,3,16,28,31,32,1,9
dlt,11054,5,9,16,26,35,3,10
dlt,11055,1,7,31,32,35,2,10
dlt,11056,3,5,29,30,31,8,10
dlt,11057,7,11,30,31,34,9,12
dlt,11058,1,9,27,32,33,3,6
dlt,11059,9,16,21,29,34,7,10
dlt,11060,3,25,29,32,34,9,10
dlt,11061,6,7,16,18,20,4,10
dlt,11062,6,10,17,20,21,3,7
dlt,11063,10,17,18,26,32,1,5
dlt,11064,1,6,27,30,34,1,6
dlt,11065,3,11,14,25,34,1,4
dlt,11066,6,13,18,20,33,9,10
dlt,11067,10,17,22,24,32,3,10
dlt,11068,1,13,16,18,32,7,9
dlt,11069,3,5,28,29,33,4,12
dlt,11070,9,19,22,29,30,2,8
dlt,11071,27,31,33,34,35,4,6
dlt,11072,3,11,13,20,35,3,8
dlt,11073,13,19,20,22,33,5,11
dlt,11074,7,16,23,28,31,3,6
dlt,11075,6,9,20,23,28,6,10
dlt,11076,18,23,25,29,30,1,2
dlt,11077,5,8,19,33,34,1,12
dlt,11078,4,9,16,27,30,2,6
dlt,11079,1,3,23,30,31,2,10
dlt,11080,5,12,30,31,32,1,3
dlt,11081,4,13,20,21,35,2,9
dlt,11082,7,20,25,30,32,5,9
dlt,11083,6,8,18,20,24,4,8
dlt,11084,14,29,31,34,35,1,12
dlt,11085,2,17,19,21,22,3,10
dlt,11086,4,5,6,9,15,1,6
dlt,11087,6,13,20,25,34,7,9
dlt,11088,20,21,27,29,35,3,8
dlt,11089,5,6,23,27,34,3,4
dlt,11090,2,4,29,30,34,5,8
dlt,11091,11,17,23,29,30,6,8
dlt,11092,10,17,19,32,33,1,12
dlt,11093,4,6,8,19,31,10,11
dlt,11094,11,21,22,32,34,4,8
dlt,11095,9,12,17,19,29,6,11
dlt,11096,3,8,20,24,25,1,2
dlt,11097,4,19,28,31,33,11,12
dlt,11098,6,7,28,33,35,1,10
dlt,11099,2,6,9,12,20,5,8
dlt,11100,8,11,13,28,33,8,9
dlt,11101,5,12,20,28,30,3,7
dlt,11102,19,24,28,31,34,4,12
dlt,11103,3,4,26,29,34,1,3
dlt,11104,7,19,27,28,34,2,5
